metrica,mercado,p_actual,p_bayes,bayes_lo,bayes_hi,dif,discrepancia,cuota,p_implicita,cuota_justa_actual,cuota_justa_bayes,ev_actual,ev_bayes,veredicto
tiros,Under 31.5,0.6420362609968433,0.6824400958991739,0.4734636587597119,0.8710848477210084,0.04040383490233057,False,,,1.56,1.47,,,sin cuota
tiros_a_puerta,1 (gana local),0.6241770547321661,0.6382140736040008,0.4600133270628095,0.7964145636326654,0.014037018871834728,False,,,1.6,1.57,,,sin cuota
tiros_a_puerta,X (empate),0.11151332857403615,0.09824363170833111,0.0696561851961832,0.11985423494813534,-0.013269696865705033,False,,,8.97,10.18,,,sin cuota
tiros_a_puerta,2 (gana visitante),0.26430961669379766,0.2635422946876681,0.1299263683279842,0.4251498946052121,-0.000767322006129556,False,,,3.78,3.79,,,sin cuota
tiros_a_puerta,Ambos anotan / suman,0.9869647558508347,0.9931896438194097,0.9835720300244835,0.9974994297253545,0.00622488796857501,False,,,1.01,1.01,,,sin cuota
tiros_a_puerta,Over 9.5,0.6148829435321791,0.7879375597390109,0.5982540212374983,0.8988777315616051,0.17305461620683182,True,,,1.63,1.27,,,sin cuota
tiros_a_puerta,Under 9.5,0.38511705646782085,0.2120624402609891,0.10112226843839486,0.40174597876250173,-0.17305461620683174,True,,,2.6,4.72,,,sin cuota
tiros_a_puerta,Over 10.5,0.49193773439711447,0.6943452964835566,0.4744240659750264,0.83593998291513,0.20240756208644212,True,,,2.03,1.44,,,sin cuota
tiros_a_puerta,Under 10.5,0.5080622656028855,0.3056547035164435,0.16406001708486975,0.5255759340249736,-0.20240756208644195,True,,,1.97,3.27,,,sin cuota
tiros_a_puerta,Over 11.5,0.3734307933724262,0.5896338720956243,0.35666168210741706,0.7547775099471694,0.21620307872319816,True,,,2.68,1.7,,,sin cuota
tiros_a_puerta,Under 11.5,0.6265692066275739,0.41036612790437577,0.24522249005283045,0.6433383178925829,-0.2162030787231981,True,,,1.6,2.44,,,sin cuota
tiros_a_puerta,Over 12.5,0.2687209752970106,0.4814317521620929,0.25400223968214153,0.6588344305749768,0.21271077686508227,True,,,3.72,2.08,,,sin cuota
tiros_a_puerta,Under 12.5,0.7312790247029893,0.5185682478379071,0.34116556942502296,0.7459977603178585,-0.21271077686508222,True,,,1.37,1.93,,,sin cuota
corners,1 (gana local),0.40100943478326534,0.6066352012032894,0.4545701993555231,0.7771333987778658,0.20562576642002406,True,,,2.49,1.65,,,sin cuota
corners,X (empate),0.12863179012253545,0.10495258838498617,0.07640569667702692,0.12069007689393679,-0.023679201737549282,False,,,7.77,9.53,,,sin cuota
corners,2 (gana visitante),0.4703587750941992,0.2884122104117245,0.14646090454510735,0.4249255611499488,-0.18194656468247472,True,,,2.13,3.47,,,sin cuota
corners,Ambos anotan / suman,0.9850879015568428,0.9917619421365954,0.9841403370144118,0.9965195184490174,0.006674040579752627,False,,,1.02,1.01,,,sin cuota
corners,Over 8.5,0.6452808666261967,0.8241737534349702,0.7038272986212777,0.9264746851661351,0.17889288680877358,True,,,1.55,1.21,,,sin cuota
corners,Under 8.5,0.3547191333738035,0.1758262465650297,0.07352531483386471,0.2961727013787222,-0.1788928868087738,True,,,2.82,5.69,,,sin cuota
corners,Over 9.5,0.5179712173682114,0.733870239300749,0.5834687889278106,0.8729854935656318,0.21589902193253763,True,1.85,0.5405405405405405,1.93,1.36,-0.04175324786880885,0.3576599427063858,valor solo bayes
corners,Under 9.5,0.4820287826317887,0.26612976069925104,0.1270145064343681,0.4165312110721892,-0.21589902193253768,True,1.95,0.5128205128205129,2.07,3.76,-0.06004387386801202,-0.4810469666364605,sin valor
corners,Over 10.5,0.3930918532547979,0.6288016813768567,0.45905359751208946,0.7999700797997352,0.23570982812205876,True,,,2.54,1.59,,,sin cuota
corners,Under 10.5,0.6069081467452022,0.37119831862314345,0.2000299202002647,0.5409464024879105,-0.23570982812205876,True,,,1.65,2.69,,,sin cuota
corners,Over 11.5,0.28173233321652924,0.5169403255379348,0.34213635581640084,0.709361261522417,0.23520799232140555,True,,,3.55,1.93,,,sin cuota
corners,Under 11.5,0.7182676667834709,0.48305967446206516,0.290638738477583,0.6578636441835992,-0.2352079923214057,True,,,1.39,2.07,,,sin cuota
faltas,1 (gana local),0.3701021139821319,0.38137351723491375,0.22794979105338892,0.5589848806978246,0.011271403252781864,False,,,2.7,2.62,,,sin cuota
faltas,X (empate),0.09312906875734128,0.08375144346920937,0.0708900467355425,0.09164657209035494,-0.009377625288131908,False,,,10.74,11.94,,,sin cuota
faltas,2 (gana visitante),0.5367688172605269,0.5348750392958768,0.3552340763651056,0.7002792866359754,-0.0018937779646501784,False,,,1.86,1.87,,,sin cuota
faltas,Ambos anotan / suman,0.9997028908179165,0.9999028251528963,0.9997707656879481,0.9999682721216555,0.00019993433497977886,False,,,1.0,1.0,,,sin cuota
faltas,Over 16.5,0.6091222766248784,0.8149606420800317,0.6749753392452218,0.9128030988906155,0.20583836545515333,True,,,1.64,1.23,,,sin cuota
faltas,Under 16.5,0.3908777233751216,0.18503935791996826,0.0871969011093844,0.32502466075477787,-0.20583836545515335,True,,,2.56,5.4,,,sin cuota
faltas,Over 17.5,0.5146767505016889,0.7485081753244507,0.5851750632216242,0.8703272987497844,0.23383142482276176,True,,,1.94,1.34,,,sin cuota
faltas,Under 17.5,0.4853232494983112,0.25149182467554926,0.12967270125021552,0.4148249367783755,-0.23383142482276192,True,,,2.06,3.98,,,sin cuota
faltas,Over 18.5,0.4211617014011746,0.6728280586240708,0.49245063625973706,0.8164444471100915,0.2516663572228962,True,,,2.37,1.49,,,sin cuota
faltas,Under 18.5,0.5788382985988254,0.32717194137592914,0.18355555288990855,0.5075493637402626,-0.25166635722289626,True,,,1.73,3.06,,,sin cuota
faltas,Over 19.5,0.3334413169579604,0.5908870417585752,0.4017457174318673,0.7516886379461432,0.2574457248006148,True,,,3.0,1.69,,,sin cuota
faltas,Under 19.5,0.6665586830420397,0.4091129582414247,0.24831136205385668,0.5982542825681324,-0.257445724800615,True,,,1.5,2.44,,,sin cuota
