temporada_txt,jornada_val,fecha_dt,hora_local_txt,hora_utc_txt,equipo_local_txt,equipo_visitante_txt,goles_local_val,goles_visitante_val,goles_local_primer_tiempo_val,goles_local_segundo_tiempo_val,goles_visitante_primer_tiempo_val,goles_visitante_segundo_tiempo_val,goles_total_primer_tiempo_val,goles_total_segundo_tiempo_val,goles_total_partido_val,tiros_local_val,tiros_visitante_val,tiros_a_puerta_local_val,tiros_a_puerta_visitante_val,corners_local_val,corners_visitante_val,faltas_local_val,faltas_visitante_val,amarillas_local_val,amarillas_visitante_val,rojas_local_val,rojas_visitante_val
2025-26,17,03/01/2026,17:00,16:00,Monaco,Lyon,1,3,1,0,1,2,2,2,4,6,13,2,9,7,2,14,12,2,3,1,0
2025-26,17,03/01/2026,19:00,18:00,Nice,Strasbourg,1,1,0,1,1,0,1,1,2,19,8,6,5,5,7,12,12,1,2,0,0
2025-26,17,03/01/2026,21:05,20:05,Lille,Rennes,0,2,0,0,0,2,0,2,2,13,18,3,4,4,7,4,14,1,1,1,0
2025-26,17,04/01/2026,15:00,14:00,Marseille,Nantes,0,2,0,0,1,1,1,1,2,11,15,4,9,6,3,17,20,2,3,2,0
2025-26,17,04/01/2026,17:15,16:15,Brest,Auxerre,2,0,1,1,0,0,1,1,2,11,10,4,1,7,6,16,9,3,2,0,0
2025-26,17,04/01/2026,17:15,16:15,Le Havre,Angers,2,1,1,1,0,1,1,2,3,11,9,6,3,6,6,15,8,1,1,0,0
2025-26,17,04/01/2026,17:15,16:15,Lorient,Metz,1,1,0,1,1,0,1,1,2,16,8,5,2,4,4,9,8,1,2,0,0
2025-26,17,04/01/2026,20:45,19:45,Paris Saint-Germain,Paris FC,2,1,1,1,0,1,1,2,3,20,6,6,3,7,1,7,4,1,0,0,0
2025-26,18,16/01/2026,19:00,18:00,Monaco,Lorient,1,3,0,1,0,3,0,4,4,14,14,7,4,4,3,16,9,1,0,0,0
2025-26,18,16/01/2026,21:00,20:00,Paris Saint-Germain,Lille,3,0,1,2,0,0,1,2,3,13,7,7,4,4,2,14,6,0,1,0,0
2025-26,18,17/01/2026,17:00,16:00,Lens,Auxerre,1,0,0,1,0,0,0,1,1,19,5,7,0,1,5,19,20,2,5,0,0
2025-26,18,17/01/2026,19:00,18:00,Toulouse,Nice,5,1,2,3,0,1,2,4,6,22,15,10,6,6,7,12,17,1,2,0,0
2025-26,18,17/01/2026,21:05,20:05,Angers,Marseille,2,5,1,1,4,1,5,2,7,7,23,3,11,6,2,9,8,1,1,0,0
2025-26,18,18/01/2026,15:00,14:00,Strasbourg,Metz,2,1,2,0,1,0,3,0,3,14,9,6,2,4,1,12,12,2,3,0,0
2025-26,18,18/01/2026,17:15,16:15,Nantes,Paris FC,1,2,0,1,1,1,1,2,3,5,10,1,3,1,2,16,14,1,3,0,0
2025-26,18,18/01/2026,17:15,16:15,Rennes,Le Havre,1,1,0,1,0,1,0,2,2,19,7,7,4,10,6,18,14,1,4,0,0
2025-26,18,18/01/2026,20:45,19:45,Lyon,Brest,2,1,2,0,0,1,2,1,3,19,5,6,2,5,0,18,9,2,0,0,1
2025-26,19,23/01/2026,20:00,19:00,Auxerre,Paris Saint-Germain,0,1,0,0,0,1,0,1,1,8,16,0,8,2,7,10,12,0,1,0,0
2025-26,19,24/01/2026,17:00,16:00,Rennes,Lorient,0,2,0,0,1,1,1,1,2,22,6,5,4,9,3,18,7,2,0,0,0
2025-26,19,24/01/2026,19:00,18:00,Le Havre,Monaco,0,0,0,0,0,0,0,0,0,7,10,1,2,5,6,9,20,0,3,0,0
2025-26,19,24/01/2026,21:05,20:05,Marseille,Lens,3,1,2,1,0,1,2,2,4,10,7,5,2,2,2,18,16,0,3,0,0
2025-26,19,25/01/2026,15:00,14:00,Nantes,Nice,1,4,1,0,3,1,4,1,5,20,7,5,4,4,2,11,15,2,3,0,0
2025-26,19,25/01/2026,17:15,16:15,Brest,Toulouse,0,2,0,0,2,0,2,0,2,13,8,5,5,3,2,16,16,2,3,0,0
2025-26,19,25/01/2026,17:15,16:15,Metz,Lyon,2,5,1,1,4,1,5,2,7,15,13,6,10,6,4,10,5,1,0,0,0
2025-26,19,25/01/2026,17:15,16:15,Paris FC,Angers,0,0,0,0,0,0,0,0,0,8,7,1,1,2,1,14,7,1,1,0,0
2025-26,19,25/01/2026,20:45,19:45,Lille,Strasbourg,1,4,0,1,2,2,2,3,5,20,15,6,6,8,1,11,13,2,2,0,0
